Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,2490.1926,18473607.7926,4298.0935,0.7663,0.4449,0.2564
1,2132.7428,15457910.7653,3931.655,0.8657,0.442,0.3328
2,2937.2225,26821447.3017,5178.9427,0.834,0.458,0.3105
3,2848.119,24308999.6089,4930.4158,0.7993,0.4214,0.2768
4,2482.5995,23145313.7467,4810.9577,0.855,0.4378,0.3329
5,2743.504,23652943.7579,4863.4292,0.8609,0.4551,0.3412
6,2949.4667,28619217.3486,5349.6932,0.8247,0.479,0.3129
7,2602.3742,23784442.2043,4876.9296,0.8061,0.4808,0.3087
8,2463.4356,16912834.7949,4112.5217,0.8844,0.4958,0.3258
9,3084.5665,27608204.1491,5254.351,0.7502,0.4546,0.3626
Mean,2673.4223,22878492.147,4760.6989,0.8246,0.4569,0.3161
Std,275.9935,4294975.7257,462.8584,0.0419,0.0214,0.0294
