,Pclass,Sex,Fare,prediction_label,prediction_score,y_true
0,3,female,8.5167,1,1.0,1
1,3,female,23.25,1,0.97,1
2,3,male,7.8875,0,1.0,0
3,3,male,7.575,0,0.99,0
4,1,male,146.5208,0,0.98,0
5,3,male,23.45,0,0.97,0
6,1,female,135.6333,1,0.99,1
7,1,male,51.8625,0,0.97,0
8,3,female,7.6292,1,0.93,1
9,3,male,9.5,0,1.0,0
10,1,male,134.5,0,0.98,0
11,1,male,28.5375,0,0.99,0
12,1,female,83.1583,1,0.98,1
13,1,male,151.55,0,0.99,0
14,3,female,7.7792,1,1.0,1
15,2,female,27.7208,1,0.93,1
16,2,female,27.75,1,0.93,1
17,3,male,22.3583,0,0.99,0
18,1,female,136.7792,1,0.99,1
19,3,male,7.5792,0,0.99,0
20,1,female,25.7,1,0.89,1
21,3,male,69.55,0,0.8,0
22,1,male,227.525,0,1.0,0
23,3,female,7.725,1,1.0,1
24,2,male,9.6875,0,0.99,0
25,3,male,8.6625,0,0.99,0
26,2,male,15.0458,0,1.0,0
27,2,female,10.5,1,0.87,1
28,3,male,14.4583,0,0.99,0
29,2,female,15.75,1,0.96,1
30,3,male,14.5,0,0.99,0
31,1,male,26.55,0,0.96,0
32,1,female,59.4,1,0.98,1
33,3,male,6.4958,0,0.99,0
34,3,male,56.4958,0,0.8,0
35,1,female,55.4417,1,0.99,1
36,1,female,61.9792,1,0.99,1
37,3,female,7.0,1,0.85,1
38,1,male,0.0,0,1.0,0
39,3,male,8.7125,0,0.99,0
40,3,female,7.2833,1,0.9,1
41,2,male,15.0333,0,1.0,0
42,3,female,8.1125,1,1.0,1
43,1,female,151.55,1,0.99,1
